ts,rate
1782543600.022,-1.6603e-06
1782547200.062,4.2032e-06
1782550800.001,-5.609e-07
1782554400.064,-4.085e-07
1782558000.032,7.014e-07
1782561600.003,-1.3297e-06
1782565200.057,-4.7106e-06
1782568800.038,1.0422e-06
1782572400.065,6.7297e-06
1782576000.043,1.01735e-05
1782579600.058,1.2155e-05
1782583200.108,1.07849e-05
1782586800.053,6.8748e-06
1782590400.044,4.437e-06
1782594000.058,4.0869e-06
1782597600.021,3.6289e-06
1782601200.04,-1.2937e-06
1782604800.067,-9.1266e-06
1782608400.011,-5.9325e-06
1782612000.06,3.2832e-06
1782615600.023,1.2853e-06
1782619200.024,4.3666e-06
1782622800.062,4.9955e-06
1782626400.048,1.6996e-06
1782630000.131,1.12891e-05
1782633600.007,1.19922e-05
1782637200.03,-1.7174e-06
1782640800.008,-5.101e-07
1782644400.056,-6.7876e-06
1782648000.0,6.5001e-06
1782651600.035,7.575e-06
1782655200.057,4.816e-07
1782658800.011,-4.776e-07
1782662400.009,-2.9793e-06
1782666000.008,-5.3064e-06
1782669600.035,3.2652e-06
1782673200.062,7.2002e-06
1782676800.011,7.19e-07
1782680400.003,3.3935e-06
1782684000.039,5.9963e-06
1782687600.013,2.8958e-06
1782691200.001,8.8272e-06
1782694800.041,2.0291e-06
1782698400.037,4.7173e-06
1782702000.024,2.9224e-06
1782705600.028,2.708e-06
1782709200.033,2.937e-07
1782712800.084,5.5019e-06
1782716400.013,2.8439e-06
1782720000.021,5.7967e-06
1782723600.032,5.8906e-06
1782727200.059,9.1666e-06
1782730800.002,4.3036e-06
1782734400.034,4.8464e-06
1782738000.037,8.3323e-06
1782741600.097,6.1273e-06
1782745200.041,1.25e-05
1782748800.009,8.9288e-06
1782752400.026,1.8169e-06
1782756000.054,2.0836e-06
1782759600.032,8.1235e-06
1782763200.01,1.11065e-05
1782766800.059,3.6097e-06
1782770400.02,1.0217e-05
1782774000.049,7.4115e-06
1782777600.028,2.8767e-06
1782781200.022,7.7651e-06
1782784800.047,9.0354e-06
1782788400.041,5.0884e-06
1782792000.028,-4.87e-06
1782795600.052,4.5111e-06
1782799200.065,1.25e-05
1782802800.042,1.25e-05
1782806400.071,1.25e-05
1782810000.015,1.23847e-05
1782813600.034,1.25e-05
1782817200.061,1.25e-05
1782820800.037,1.07344e-05
1782824400.033,-1.493e-07
1782828000.043,6.2665e-06
1782831600.058,1.25e-05
1782835200.01,1.21714e-05
1782838800.028,1.13399e-05
1782842400.014,1.25e-05
1782846000.063,1.25e-05
1782849600.065,1.15754e-05
1782853200.051,1.4058e-06
1782856800.045,1.7818e-06
1782860400.048,6.8525e-06
1782864000.063,6.0184e-06
1782867600.046,1.3738e-06
1782871200.018,-5.1677e-06
1782874800.011,2.722e-06
1782878400.001,3.9802e-06
1782882000.0,1.17586e-05
1782885600.001,-5.252e-07
1782889200.022,1.6575e-06
1782892800.065,6.4315e-06
1782896400.04,1.20266e-05
1782900000.048,1.25e-05
1782903600.001,4.8544e-06
1782907200.044,1.10907e-05
1782910800.001,4.8489e-06
1782914400.006,9.9104e-06
1782918000.012,1.3904e-06
1782921600.045,1.25e-05
1782925200.022,1.25e-05
1782928800.061,1.25e-05
1782932400.036,1.25e-05
1782936000.005,1.25e-05
1782939600.007,1.25e-05
1782943200.086,1.25e-05
1782946800.056,1.25e-05
1782950400.074,1.25e-05
1782954000.014,1.25e-05
1782957600.02,1.25e-05
1782961200.07,1.25e-05
1782964800.033,1.25e-05
1782968400.047,1.25e-05
1782972000.007,1.25e-05
1782975600.011,1.25e-05
1782979200.014,1.25e-05
1782982800.01,1.25e-05
1782986400.006,1.25e-05
1782990000.037,1.25e-05
1782993600.03,1.25e-05
1782997200.027,1.25e-05
1783000800.025,1.25e-05
1783004400.055,1.25e-05
1783008000.068,1.25e-05
1783011600.026,1.25e-05
1783015200.007,1.25e-05
1783018800.044,1.25e-05
1783022400.007,1.25e-05
1783026000.031,1.25e-05
1783029600.025,1.25e-05
1783033200.029,1.25e-05
1783036800.018,1.25e-05
1783040400.017,1.25e-05
1783044000.081,1.25e-05
1783047600.031,1.25e-05
1783051200.034,1.25e-05
1783054800.012,1.25e-05
1783058400.078,1.25e-05
1783062000.025,1.25e-05
1783065600.049,1.89181e-05
1783069200.022,1.25e-05
1783072800.017,1.25e-05
1783076400.042,1.25e-05
