ts,side,price,size
1781041500.001,sell,61663.0,123.21557
1781042400.0,sell,61634.0,249.563745
1781042400.001,buy,61818.0,249.563745
1781043300.0,buy,61917.0,98.12518
1781043300.001,sell,61751.0,98.12518
1781044200.0,sell,61752.0,161.30189
1781044200.001,buy,61950.0,161.30189
1781045100.0,buy,61846.0,88.03589
1781045100.001,sell,61650.0,88.03589
1781046000.0,sell,61623.0,68.303775
1781046000.001,buy,61775.0,68.303775
1781046900.0,buy,61855.0,51.854585
1781046900.001,sell,61649.0,51.854585
1781047800.0,buy,61700.0,62.59273
1781047800.001,sell,61528.0,62.59273
1781048700.0,sell,61562.0,82.92512
1781048700.001,buy,61723.0,82.92512
1781049600.0,sell,61668.0,150.29228
1781049600.001,buy,61869.0,150.29228
1781050500.0,sell,61691.0,72.25909
1781050500.001,buy,61840.0,72.25909
1781051400.0,buy,61848.0,162.04479
1781051400.001,sell,61413.0,162.04479
1781052300.0,sell,61460.0,139.60871
1781052300.001,buy,61900.0,139.60871
1781053200.0,buy,61947.0,140.982295
1781053200.001,sell,61649.0,140.982295
1781054100.0,sell,61718.0,60.253525
1781054100.001,buy,61858.0,60.253525
1781055000.0,buy,61865.0,85.06115
1781055000.001,sell,61555.0,85.06115
1781055900.0,sell,61583.0,45.1124
1781055900.001,buy,61814.0,45.1124
1781056800.0,buy,61809.0,95.99829
1781056800.001,sell,61514.0,95.99829
1781057700.0,buy,61542.0,205.806595
1781057700.001,sell,61313.0,205.806595
1781058600.0,buy,61525.0,197.269875
1781058600.001,sell,61264.0,197.269875
1781059500.0,buy,61357.0,96.321075
1781059500.001,sell,61201.0,96.321075
1781060400.0,sell,61259.0,132.555785
1781060400.001,buy,61449.0,132.555785
1781061300.0,sell,61306.0,447.215095
1781061300.001,buy,61579.0,447.215095
1781062200.0,buy,61548.0,64.516685
1781062200.001,sell,61414.0,64.516685
1781063100.0,sell,61462.0,33.04846
1781063100.001,buy,61555.0,33.04846
1781064000.0,buy,61536.0,83.13802
1781064000.001,sell,61422.0,83.13802
1781064900.0,buy,61528.0,43.89972
1781064900.001,sell,61428.0,43.89972
1781065800.0,buy,61443.0,291.431695
1781065800.001,sell,61166.0,291.431695
1781066700.0,sell,61160.0,163.846455
1781066700.001,buy,61336.0,163.846455
1781067600.0,buy,61297.0,290.447045
1781067600.001,sell,61088.0,290.447045
1781068500.0,sell,61043.0,247.509145
1781068500.001,buy,61232.0,247.509145
1781069400.0,sell,61156.0,64.839885
1781069400.001,buy,61292.0,64.839885
1781070300.0,sell,61180.0,51.76108
1781070300.001,buy,61374.0,51.76108
1781071200.0,sell,61261.0,53.2978
1781071200.001,buy,61401.0,53.2978
1781072100.0,buy,61450.0,157.563365
1781072100.001,sell,61286.0,157.563365
1781073000.0,sell,61111.0,100.920635
1781073000.001,buy,61431.0,100.920635
1781073900.0,sell,61389.0,46.48973
1781073900.001,buy,61491.0,46.48973
1781074800.0,sell,61399.0,89.10368
1781074800.001,buy,61565.0,89.10368
1781075700.0,sell,61522.0,130.52304
1781075700.001,buy,61685.0,130.52304
1781076600.0,sell,61530.0,40.92168
1781076600.001,buy,61777.0,40.92168
1781077500.0,buy,61740.0,97.367605
1781077500.001,sell,61628.0,97.367605
1781078400.0,buy,61684.0,63.38596
1781078400.001,sell,61507.0,63.38596
1781079300.0,buy,61700.0,104.51172
1781079300.001,sell,61457.0,104.51172
1781080200.0,buy,61581.0,159.575335
1781080200.001,sell,61202.0,159.575335
1781081100.0,sell,61133.0,167.855945
1781081100.001,buy,61299.0,167.855945
1781082000.0,buy,61286.0,185.3334
1781082000.001,sell,61018.0,185.3334
1781082900.0,sell,60733.0,702.587485
1781082900.001,buy,61223.0,702.587485
1781083800.0,sell,61161.0,315.42337
1781083800.001,buy,61402.0,315.42337
1781084700.0,sell,61124.0,200.83342
1781084700.001,buy,61385.0,200.83342
1781085600.0,buy,61313.0,99.885565
1781085600.001,sell,61134.0,99.885565
1781086500.0,sell,61124.0,101.807175
1781086500.001,buy,61333.0,101.807175
1781087400.0,buy,61432.0,147.204525
1781087400.001,sell,61235.0,147.204525
1781088300.0,sell,61253.0,48.918485
1781088300.001,buy,61383.0,48.918485
1781089200.0,buy,61414.0,369.492005
1781089200.001,sell,60832.0,369.492005
1781090100.0,buy,61223.0,231.772825
1781090100.001,sell,60851.0,231.772825
1781091000.0,sell,60885.0,158.18716
1781091000.001,buy,61036.0,158.18716
1781091900.0,sell,60950.0,109.28932
1781091900.001,buy,61083.0,109.28932
1781092800.0,sell,60930.0,276.063275
1781092800.001,buy,61198.0,276.063275
1781093700.0,buy,61210.0,141.320425
1781093700.001,sell,61017.0,141.320425
1781094600.0,sell,61120.0,1306.20978
1781094600.001,buy,61902.0,1306.20978
1781095500.0,buy,61774.0,182.956995
1781095500.001,sell,61536.0,182.956995
1781096400.0,buy,61591.0,218.363015
1781096400.001,sell,61469.0,218.363015
1781097300.0,sell,61409.0,108.278675
1781097300.001,buy,61558.0,108.278675
1781098200.0,sell,61496.0,1357.4803
1781098200.001,buy,62372.0,1357.4803
1781099100.0,buy,62436.0,550.063395
1781099100.001,sell,62044.0,550.063395
1781100000.0,buy,62241.0,287.569415
1781100000.001,sell,61974.0,287.569415
1781100900.0,sell,61838.0,376.137625
1781100900.001,buy,62150.0,376.137625
1781101800.0,buy,62101.0,324.18886
1781101800.001,sell,61786.0,324.18886
1781102700.0,sell,61792.0,352.27892
1781102700.001,buy,62183.0,352.27892
1781103600.0,buy,62412.0,447.004405
1781103600.001,sell,61846.0,447.004405
1781104500.0,sell,61850.0,370.98424
1781104500.001,buy,62340.0,370.98424
1781105400.0,sell,62165.0,197.834385
1781105400.001,buy,62399.0,197.834385
1781106300.0,sell,62093.0,1908.240405
1781106300.001,buy,62827.0,1908.240405
1781107200.0,buy,62621.0,589.622415
1781107200.001,sell,62300.0,589.622415
1781108100.0,buy,62418.0,228.14345
1781108100.001,sell,62078.0,228.14345
1781109000.0,buy,62377.0,112.240005
1781109000.001,sell,62130.0,112.240005
1781109900.0,buy,62200.0,609.771095
1781109900.001,sell,61900.0,609.771095
1781110800.0,buy,62343.0,339.576205
1781110800.001,sell,61978.0,339.576205
1781111700.0,buy,62172.0,184.984355
